,Date,Open
18514,2001-10-01,1040.939941
18519,2001-10-08,1071.369995
18524,2001-10-15,1091.650024
18529,2001-10-22,1073.47998
18534,2001-10-29,1104.609985
18539,2001-11-05,1087.199951
18544,2001-11-12,1120.310059
18549,2001-11-19,1138.650024
18553,2001-11-26,1150.339966
18558,2001-12-03,1139.449951
18563,2001-12-10,1158.310059
18568,2001-12-17,1123.089966
18573,2001-12-24,1144.890015
18577,2001-12-31,1161.02002
18581,2002-01-07,1172.51001
18586,2002-01-14,1145.599976
18595,2002-01-28,1133.280029
18600,2002-02-04,1122.199951
18605,2002-02-11,1096.219971
18614,2002-02-25,1089.839966
18619,2002-03-04,1131.780029
18624,2002-03-11,1164.310059
18629,2002-03-18,1166.160034
18634,2002-03-25,1148.699951
18638,2002-04-01,1147.390015
18643,2002-04-08,1122.72998
18648,2002-04-15,1111.01001
18653,2002-04-22,1125.170044
18658,2002-04-29,1076.319946
18663,2002-05-06,1073.430054
18668,2002-05-13,1054.98999
18673,2002-05-20,1106.589966
18682,2002-06-03,1067.140015
18687,2002-06-10,1027.530029
18692,2002-06-17,1007.27002
18702,2002-07-01,989.820007
18706,2002-07-08,989.030029
18711,2002-07-15,921.390015
18716,2002-07-22,847.76001
18721,2002-07-29,852.840027
18726,2002-08-05,864.23999
18731,2002-08-12,908.640015
18736,2002-08-19,928.77002
18741,2002-08-26,940.859985
18750,2002-09-09,893.919983
18755,2002-09-16,889.809998
18760,2002-09-23,845.390015
18765,2002-09-30,827.369995
18770,2002-10-07,800.580017
18775,2002-10-14,835.320007
18780,2002-10-21,884.390015
18785,2002-10-28,897.650024
18790,2002-11-04,900.960022
18795,2002-11-11,894.73999
18800,2002-11-18,909.830017
18805,2002-11-25,930.549988
18809,2002-12-02,936.309998
18814,2002-12-09,912.22998
18819,2002-12-16,889.47998
18824,2002-12-23,895.73999
18828,2002-12-30,875.400024
18832,2003-01-06,908.590027
18837,2003-01-13,927.570007
18846,2003-01-27,861.400024
18851,2003-02-03,855.700012
18856,2003-02-10,829.690002
18865,2003-02-24,848.169983
18870,2003-03-03,841.150024
18875,2003-03-10,828.890015
18880,2003-03-17,833.27002
18885,2003-03-24,895.789978
18890,2003-03-31,863.5
18895,2003-04-07,878.849976
18900,2003-04-14,868.299988
18904,2003-04-21,893.580017
18909,2003-04-28,898.809998
18914,2003-05-05,930.080017
18919,2003-05-12,933.409973
18924,2003-05-19,944.299988
18933,2003-06-02,963.590027
18938,2003-06-09,987.76001
18943,2003-06-16,988.609985
18948,2003-06-23,995.690002
18953,2003-06-30,976.219971
18957,2003-07-07,985.700012
18962,2003-07-14,998.140015
18967,2003-07-21,993.320007
18972,2003-07-28,998.679993
18977,2003-08-04,980.150024
18982,2003-08-11,977.590027
18987,2003-08-18,990.669983
